System,Ligase_LGFE_min,Target_LGFE_min,Delta_Ligase,CrippenClogP,LWCOMDist_LGFEmin,Restr_RMSD_LGFEmin,Linker_LGFE_min,TWCOMDist_LGFEmin,NumRotatableBonds,Delta_Target
VHL-BCL2,0.50 ± 0.05,0.27 ± 0.02,-0.26 ± 0.07,-0.01 ± 0.07,0.05 ± 0.08,-0.16 ± 0.01,0.36 ± 0.06,0.13 ± 0.05,-0.20 ± 0.02,0.06 ± 0.04
CRBN-BCL-xL,0.26 ± 0.02,0.31 ± 0.06,0.04 ± 0.02,-0.16 ± 0.04,-0.12 ± 0.05,-0.18 ± 0.02,-0.07 ± 0.03,0.04 ± 0.03,-0.32 ± 0.01,-0.02 ± 0.01
VHL-BCL-xL,0.37 ± 0.04,0.43 ± 0.03,0.31 ± 0.09,-0.65 ± 0.06,-0.18 ± 0.07,-0.19 ± 0.02,0.19 ± 0.06,-0.35 ± 0.05,0.07 ± 0.02,-0.22 ± 0.05
CRBN-BRD4BD1,0.01 ± 0.14,0.29 ± 0.13,-0.08 ± 0.12,-0.08 ± 0.10,0.61 ± 0.29,-0.50 ± 0.16,0.42 ± 0.20,-0.27 ± 0.15,-0.29 ± 0.09,-0.15 ± 0.12
CRBN-BRD4BD2,-0.08 ± 0.08,0.53 ± 0.03,-0.70 ± 0.13,-0.14 ± 0.03,0.07 ± 0.03,0.39 ± 0.05,0.22 ± 0.03,-0.41 ± 0.09,-0.05 ± 0.03,-0.29 ± 0.07
CRBN-CDK9,0.29 ± 0.03,0.57 ± 0.04,-0.42 ± 0.03,-0.20 ± 0.02,0.03 ± 0.04,-0.33 ± 0.04,0.22 ± 0.04,-0.08 ± 0.02,-0.02 ± 0.01,0.01 ± 0.03
MDM2-EGFR,0.19 ± 0.01,0.02 ± 0.04,-0.17 ± 0.03,-0.21 ± 0.03,-0.18 ± 0.05,-0.04 ± 0.01,-0.22 ± 0.05,-0.04 ± 0.03,-0.31 ± 0.01,0.04 ± 0.04
VHL-EGFR,-0.07 ± 0.05,0.50 ± 0.05,-0.35 ± 0.07,-0.61 ± 0.04,-0.51 ± 0.08,-0.06 ± 0.09,-0.03 ± 0.06,0.09 ± 0.04,-0.03 ± 0.02,0.00 ± 0.07
VHL-FAK1,0.24 ± 0.03,0.13 ± 0.06,-0.07 ± 0.05,-0.55 ± 0.06,-0.20 ± 0.06,0.06 ± 0.06,0.51 ± 0.10,-0.06 ± 0.08,-0.24 ± 0.03,0.06 ± 0.10
VHL-FAK1,0.12 ± 0.04,0.27 ± 0.04,-0.14 ± 0.02,-0.16 ± 0.05,-0.51 ± 0.05,0.13 ± 0.03,0.26 ± 0.07,-0.37 ± 0.03,-0.19 ± 0.02,0.01 ± 0.05
CRBN-HDAC8,0.51 ± 0.06,0.20 ± 0.08,-0.32 ± 0.04,-0.39 ± 0.07,0.19 ± 0.09,-0.27 ± 0.09,0.08 ± 0.06,-0.21 ± 0.08,-0.05 ± 0.03,-0.00 ± 0.08
CRBN-SMARCA2,0.59 ± 0.09,0.32 ± 0.06,-0.39 ± 0.05,-0.37 ± 0.05,-0.21 ± 0.04,0.07 ± 0.04,0.28 ± 0.10,-0.50 ± 0.11,0.13 ± 0.06,-0.54 ± 0.09
VHL-SMARCA2,0.30 ± 0.04,-0.18 ± 0.03,-0.27 ± 0.02,-0.34 ± 0.02,-0.19 ± 0.02,0.02 ± 0.06,0.38 ± 0.03,-0.41 ± 0.02,-0.17 ± 0.01,-0.02 ± 0.03
VHL-SMARCA4,0.79 ± 0.05,0.14 ± 0.05,-0.20 ± 0.04,-0.16 ± 0.02,-0.00 ± 0.06,-0.57 ± 0.04,-0.11 ± 0.05,-0.11 ± 0.04,0.00 ± 0.01,-0.02 ± 0.02
VHL-WDR5,0.11 ± 0.02,0.24 ± 0.02,-0.21 ± 0.03,0.11 ± 0.03,-0.24 ± 0.02,-0.09 ± 0.03,-0.02 ± 0.01,-0.14 ± 0.01,-0.29 ± 0.02,0.01 ± 0.02
Mean,0.32,0.23,-0.23,-0.27,-0.10,-0.16,0.16,-0.19,-0.11,-0.06
