System,Ligase_LGFE_min,Target_LGFE_min
VHL-BCL2,0.77 ± 0.05,0.63 ± 0.06
CRBN-BCL-xL,1.16 ± 0.05,0.36 ± 0.06
VHL-BCL-xL,0.33 ± 0.09,1.13 ± 0.10
CRBN-BRD4BD1,0.81 ± 0.15,0.62 ± 0.11
CRBN-BRD4BD2,0.21 ± 0.13,1.00 ± 0.13
CRBN-CDK9,0.74 ± 0.03,0.67 ± 0.03
MDM2-EGFR,1.34 ± 0.08,-0.14 ± 0.08
VHL-EGFR,0.90 ± 0.11,0.32 ± 0.15
VHL-FAK1,1.17 ± 0.18,0.24 ± 0.20
VHL-FAK1,1.01 ± 0.05,0.37 ± 0.06
CRBN-HDAC8,0.77 ± 0.12,0.63 ± 0.15
CRBN-SMARCA2,1.28 ± 0.09,0.22 ± 0.10
VHL-SMARCA2,1.12 ± 0.01,0.19 ± 0.01
VHL-SMARCA4,1.01 ± 0.01,0.36 ± 0.01
VHL-WDR5,-0.29 ± 0.11,1.69 ± 0.11
Mean,0.86,0.50
