System,CrippenClogP,LWCOMDist_LGFEmin,Target_LGFE_min
VHL-BCL2,-0.66 ± 0.13,-0.19 ± 0.13,0.38 ± 0.06
CRBN-BCL-xL,-0.82 ± 0.13,-0.37 ± 0.07,0.68 ± 0.12
VHL-BCL-xL,-1.26 ± 0.02,-0.20 ± 0.01,-0.03 ± 0.03
CRBN-BRD4BD1,-2.71 ± 0.15,0.01 ± 0.19,0.30 ± 0.10
CRBN-BRD4BD2,-0.54 ± 0.08,-0.27 ± 0.08,0.90 ± 0.04
CRBN-CDK9,-1.00 ± 0.02,-1.60 ± 0.08,0.58 ± 0.01
MDM2-EGFR,-0.75 ± 0.04,0.12 ± 0.10,-0.06 ± 0.05
VHL-EGFR,-0.41 ± 0.03,0.22 ± 0.03,0.97 ± 0.05
VHL-FAK1,-1.19 ± 0.07,-0.23 ± 0.05,0.29 ± 0.04
VHL-FAK1,-0.89 ± 0.11,0.65 ± 0.10,0.73 ± 0.08
CRBN-HDAC8,0.01 ± 0.31,-1.36 ± 0.16,1.23 ± 0.11
CRBN-SMARCA2,-0.51 ± 0.03,-0.76 ± 0.04,1.34 ± 0.01
VHL-SMARCA2,-1.05 ± 0.02,-0.20 ± 0.01,0.86 ± 0.01
VHL-SMARCA4,-0.85 ± 0.02,-0.02 ± 0.02,1.00 ± 0.01
VHL-WDR5,-0.29 ± 0.03,-0.38 ± 0.06,0.74 ± 0.02
Mean,-0.89,-0.29,0.72
