System,CrippenClogP,LWCOMDist_LGFEmin,Target_LGFE_min,Delta_Target
VHL-BCL2,-0.11 ± 0.09,-0.19 ± 0.10,0.48 ± 0.05,-0.31 ± 0.06
CRBN-BCL-xL,-0.40 ± 0.04,-0.23 ± 0.03,0.82 ± 0.04,-0.46 ± 0.05
VHL-BCL-xL,-0.83 ± 0.05,-0.13 ± 0.02,0.28 ± 0.05,-0.31 ± 0.04
CRBN-BRD4BD1,-1.16 ± 0.12,-0.28 ± 0.13,1.03 ± 0.07,-1.68 ± 0.07
CRBN-BRD4BD2,-0.75 ± 0.06,-0.32 ± 0.05,1.07 ± 0.01,0.37 ± 0.05
CRBN-CDK9,-0.42 ± 0.02,-0.47 ± 0.02,0.90 ± 0.01,-0.95 ± 0.02
MDM2-EGFR,-0.55 ± 0.02,0.05 ± 0.09,0.10 ± 0.04,-0.48 ± 0.06
VHL-EGFR,-0.26 ± 0.04,0.23 ± 0.03,0.87 ± 0.04,-0.76 ± 0.07
VHL-FAK1,-0.68 ± 0.05,-0.19 ± 0.06,0.55 ± 0.02,-0.37 ± 0.03
VHL-FAK1,-0.29 ± 0.10,0.08 ± 0.06,0.66 ± 0.04,-0.76 ± 0.09
CRBN-HDAC8,0.18 ± 0.34,-0.88 ± 0.09,1.56 ± 0.10,-0.93 ± 0.24
CRBN-SMARCA2,-0.46 ± 0.02,-0.54 ± 0.03,1.37 ± 0.01,-0.35 ± 0.02
VHL-SMARCA2,-0.66 ± 0.01,0.03 ± 0.02,0.82 ± 0.01,-0.47 ± 0.02
VHL-SMARCA4,-0.59 ± 0.01,0.36 ± 0.01,1.02 ± 0.01,-0.68 ± 0.01
VHL-WDR5,-0.29 ± 0.03,-0.43 ± 0.02,0.61 ± 0.02,-0.69 ± 0.05
Mean,-0.52,-0.10,0.83,-0.61
