System,Ligase_LGFE_min,Target_LGFE_min,Delta_Ligase,CrippenClogP,LWCOMDist_LGFEmin
VHL-BCL2,0.76 ± 0.05,0.26 ± 0.10,-0.68 ± 0.11,-0.25 ± 0.12,0.01 ± 0.09
CRBN-BCL-xL,0.54 ± 0.01,0.49 ± 0.02,-0.23 ± 0.02,-0.38 ± 0.02,-0.24 ± 0.04
VHL-BCL-xL,0.33 ± 0.04,0.47 ± 0.06,0.35 ± 0.11,-0.85 ± 0.06,-0.40 ± 0.08
CRBN-BRD4BD1,0.93 ± 0.25,-0.01 ± 0.35,0.04 ± 0.27,-1.10 ± 0.34,0.45 ± 0.49
CRBN-BRD4BD2,-0.09 ± 0.05,0.75 ± 0.02,-1.30 ± 0.08,0.02 ± 0.03,0.23 ± 0.04
CRBN-CDK9,0.51 ± 0.03,0.51 ± 0.02,-0.52 ± 0.03,-0.21 ± 0.01,-0.04 ± 0.06
MDM2-EGFR,0.83 ± 0.08,-0.14 ± 0.09,-0.38 ± 0.05,-0.19 ± 0.03,-0.56 ± 0.09
VHL-EGFR,0.00 ± 0.03,0.54 ± 0.03,-0.32 ± 0.04,-0.59 ± 0.02,-0.40 ± 0.08
VHL-FAK1,0.74 ± 0.22,-0.09 ± 0.28,-0.65 ± 0.32,-0.76 ± 0.18,-0.45 ± 0.24
VHL-FAK1,0.61 ± 0.05,0.73 ± 0.06,0.44 ± 0.08,-0.02 ± 0.06,-0.89 ± 0.07
CRBN-HDAC8,0.67 ± 0.05,0.08 ± 0.04,-0.92 ± 0.02,-0.42 ± 0.03,0.27 ± 0.06
CRBN-SMARCA2,1.51 ± 0.15,-0.16 ± 0.08,-0.90 ± 0.21,0.09 ± 0.12,0.36 ± 0.27
VHL-SMARCA2,0.96 ± 0.02,0.08 ± 0.02,-0.27 ± 0.01,-0.15 ± 0.02,-0.06 ± 0.01
VHL-SMARCA4,0.85 ± 0.02,0.38 ± 0.02,-0.12 ± 0.03,-0.16 ± 0.01,0.10 ± 0.02
VHL-WDR5,-0.12 ± 0.06,1.08 ± 0.12,-0.14 ± 0.09,-0.28 ± 0.07,-0.25 ± 0.09
Mean,0.65,0.32,-0.32,-0.32,-0.10
