System,Ligase_LGFE_min,Target_LGFE_min,Delta_Ligase,CrippenClogP,LWCOMDist_LGFEmin,Restr_RMSD_LGFEmin
VHL-BCL2,0.70 ± 0.04,0.27 ± 0.08,-0.58 ± 0.10,-0.16 ± 0.09,-0.05 ± 0.07,-0.44 ± 0.07
CRBN-BCL-xL,0.51 ± 0.01,0.45 ± 0.01,-0.26 ± 0.01,-0.38 ± 0.03,-0.20 ± 0.03,-0.18 ± 0.01
VHL-BCL-xL,0.35 ± 0.04,0.47 ± 0.06,0.37 ± 0.12,-0.88 ± 0.06,-0.39 ± 0.08,0.14 ± 0.07
CRBN-BRD4BD1,0.88 ± 0.19,-0.23 ± 0.23,-0.04 ± 0.20,-0.91 ± 0.29,0.67 ± 0.34,-1.40 ± 0.16
CRBN-BRD4BD2,0.03 ± 0.05,0.82 ± 0.01,-0.93 ± 0.09,-0.22 ± 0.02,0.09 ± 0.01,0.64 ± 0.02
CRBN-CDK9,0.36 ± 0.02,0.56 ± 0.01,-0.41 ± 0.02,-0.15 ± 0.01,-0.11 ± 0.02,-0.52 ± 0.05
MDM2-EGFR,0.82 ± 0.07,-0.11 ± 0.07,-0.43 ± 0.04,-0.10 ± 0.02,-0.40 ± 0.06,-0.38 ± 0.10
VHL-EGFR,0.01 ± 0.03,0.54 ± 0.03,-0.31 ± 0.04,-0.60 ± 0.02,-0.42 ± 0.07,0.05 ± 0.05
VHL-FAK1,0.64 ± 0.19,0.18 ± 0.24,-0.92 ± 0.26,-0.85 ± 0.16,0.02 ± 0.19,0.55 ± 0.14
VHL-FAK1,0.64 ± 0.06,0.69 ± 0.06,0.42 ± 0.10,-0.01 ± 0.06,-0.88 ± 0.06,-0.05 ± 0.10
CRBN-HDAC8,0.57 ± 0.08,0.18 ± 0.03,-0.76 ± 0.12,-0.35 ± 0.06,0.18 ± 0.06,-0.31 ± 0.10
CRBN-SMARCA2,1.52 ± 0.14,0.09 ± 0.03,-0.74 ± 0.20,-0.10 ± 0.08,0.54 ± 0.22,0.88 ± 0.15
VHL-SMARCA2,0.89 ± 0.02,0.02 ± 0.02,-0.25 ± 0.01,-0.09 ± 0.01,-0.03 ± 0.02,-0.62 ± 0.04
VHL-SMARCA4,0.75 ± 0.02,0.21 ± 0.02,-0.13 ± 0.02,-0.20 ± 0.01,-0.05 ± 0.02,-0.51 ± 0.02
VHL-WDR5,0.14 ± 0.07,0.91 ± 0.12,-0.11 ± 0.11,-0.25 ± 0.08,-0.40 ± 0.08,0.21 ± 0.09
Mean,0.61,0.30,-0.29,-0.31,-0.10,-0.22
