System,CrippenClogP,LWCOMDist_LGFEmin,Target_LGFE_min,Delta_Target,Ligase_LGFE_min,NumRotatableBonds,Linker_LGFE_min,TWCOMDist_LGFEmin,Delta_Ligase
VHL-BCL2,-0.04 ± 0.01,-0.20 ± 0.04,0.08 ± 0.02,-0.08 ± 0.03,-0.02 ± 0.02,-0.20 ± 0.01,-0.06 ± 0.01,0.15 ± 0.05,-0.11 ± 0.01
CRBN-BCL-xL,-0.14 ± 0.08,-0.10 ± 0.01,0.27 ± 0.02,-0.15 ± 0.04,0.22 ± 0.02,-0.19 ± 0.02,-0.19 ± 0.03,-0.26 ± 0.03,-0.10 ± 0.02
VHL-BCL-xL,-0.12 ± 0.04,-0.19 ± 0.04,-0.00 ± 0.04,0.01 ± 0.05,0.01 ± 0.04,-0.29 ± 0.02,0.16 ± 0.04,0.07 ± 0.04,0.03 ± 0.07
CRBN-BRD4BD1,-0.23 ± 0.03,-0.34 ± 0.07,-0.01 ± 0.05,-0.28 ± 0.05,0.63 ± 0.07,-0.28 ± 0.04,-0.15 ± 0.06,-0.21 ± 0.06,0.14 ± 0.06
CRBN-BRD4BD2,-0.61 ± 0.11,-0.25 ± 0.05,0.26 ± 0.04,0.16 ± 0.05,0.07 ± 0.03,-0.29 ± 0.05,0.38 ± 0.06,-0.14 ± 0.08,-0.00 ± 0.01
CRBN-CDK9,0.19 ± 0.01,-0.27 ± 0.01,0.25 ± 0.01,-0.39 ± 0.02,0.29 ± 0.03,-0.24 ± 0.01,-0.31 ± 0.02,-0.23 ± 0.03,-0.43 ± 0.04
MDM2-EGFR,-0.21 ± 0.02,-0.06 ± 0.03,0.04 ± 0.04,-0.15 ± 0.02,0.14 ± 0.07,-0.08 ± 0.05,0.28 ± 0.08,0.03 ± 0.07,-0.18 ± 0.07
VHL-EGFR,0.53 ± 0.08,0.35 ± 0.03,0.16 ± 0.03,0.16 ± 0.03,0.19 ± 0.02,-0.66 ± 0.04,-0.46 ± 0.03,0.25 ± 0.04,0.20 ± 0.04
VHL-FAK1,-0.26 ± 0.03,-0.24 ± 0.02,0.22 ± 0.01,-0.24 ± 0.06,0.40 ± 0.03,-0.09 ± 0.04,0.01 ± 0.02,-0.32 ± 0.02,-0.00 ± 0.03
VHL-FAK1,-0.28 ± 0.04,-0.02 ± 0.02,0.31 ± 0.01,-0.35 ± 0.02,0.09 ± 0.02,-0.05 ± 0.02,0.01 ± 0.02,-0.25 ± 0.05,-0.45 ± 0.03
CRBN-HDAC8,0.46 ± 0.13,-0.16 ± 0.03,0.21 ± 0.06,-0.03 ± 0.11,0.67 ± 0.12,-0.32 ± 0.05,0.52 ± 0.13,0.14 ± 0.11,-0.31 ± 0.07
CRBN-SMARCA2,-0.41 ± 0.06,-0.36 ± 0.02,0.44 ± 0.01,-0.35 ± 0.01,0.58 ± 0.02,-0.14 ± 0.01,0.23 ± 0.04,-0.14 ± 0.01,-0.24 ± 0.05
VHL-SMARCA2,-0.54 ± 0.01,0.30 ± 0.02,0.72 ± 0.02,-0.30 ± 0.02,0.35 ± 0.01,0.09 ± 0.01,-0.57 ± 0.02,-0.04 ± 0.02,-0.71 ± 0.02
VHL-SMARCA4,-0.70 ± 0.02,0.64 ± 0.01,0.21 ± 0.01,-0.31 ± 0.01,0.11 ± 0.01,-0.27 ± 0.01,-0.63 ± 0.04,-0.11 ± 0.01,-0.55 ± 0.01
VHL-WDR5,0.02 ± 0.01,-0.35 ± 0.03,0.35 ± 0.01,-0.16 ± 0.02,0.57 ± 0.07,-0.11 ± 0.01,-0.14 ± 0.04,0.25 ± 0.00,0.06 ± 0.06
Mean,-0.22,0.04,0.28,-0.19,0.27,-0.20,-0.20,-0.06,-0.27
